variant,precision,recall,ndcg,hit_rate,mrr
A: CNN-only,0.0048000000000000004,0.004506932042236331,0.006328732027342799,0.042,0.020768600798418094
B: LSTM-only,0.0104,0.00838247353789335,0.013166096784852801,0.096,0.038838795822297
C: No metadata,0.004,0.0037838214589149166,0.00529439365859916,0.038,0.020738946917441218
D: No NCF,0.0068000000000000005,0.008272524319315544,0.008718384228495428,0.066,0.02809565336447137
E: No novelty,0.023200000000000002,0.019899065457704444,0.025967236200753557,0.18,0.06825271512438821
Full VibeRec,0.023799999999999998,0.01967743159455872,0.025972038247644786,0.186,0.0669339052991738
